duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id,cast,director,country,listed_in,year_added,month_added
78,0,Movie,Joaquín Reyes: Una y no más,2017-09-08,2017.0,TV-MA,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",80169755.0,Joaquín Reyes,José Miguel Contreras,Not Available,Stand-Up Comedy,2017,9
95,0,Movie,Kidnapping Mr. Heineken,2017-09-08,2015.0,R,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",70299204.0,"Jim Sturgess, Mark van Eeuwen, Jemima West, Thomas Cocquerel, Sam Worthington, Ryan Kwanten, Anthony Hopkins, David Dencik",Daniel Alfredson,"Netherlands, United States, Belgium, United Kingdom","Action & Adventure, Dramas, International Movies",2017,9
58,0,Movie,Krish Trish and Baltiboy,2017-09-08,2009.0,TV-Y7,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab.",80182480.0,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",Not Available,Not Available,Children & Family Movies,2017,9
62,0,Movie,Krish Trish and Baltiboy: Battle of Wits,2017-09-08,2013.0,TV-Y7,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.",80182483.0,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra","Munjal Shroff, Tilak Shetty",Not Available,Children & Family Movies,2017,9
65,0,Movie,Krish Trish and Baltiboy: Best Friends Forever,2017-09-08,2016.0,TV-Y,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan.",80182596.0,"Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra","Munjal Shroff, Tilak Shetty",Not Available,Children & Family Movies,2017,9
61,0,Movie,Krish Trish and Baltiboy: Comics of India,2017-09-08,2012.0,TV-Y7,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",80182482.0,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",Tilak Shetty,Not Available,Children & Family Movies,2017,9
65,0,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,2017-09-08,2017.0,TV-Y7,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra.",80182597.0,"Rishi Gambhir, Smita Malhotra, Deepak Chachra",Tilak Shetty,Not Available,Children & Family Movies,2017,9
58,0,Movie,Krish Trish and Baltiboy: Part II,2017-09-08,2010.0,TV-Y7,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.",80182481.0,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",Not Available,Not Available,Children & Family Movies,2017,9
60,0,Movie,Krish Trish and Baltiboy: The Greatest Trick,2017-09-08,2013.0,TV-Y7,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.",80182621.0,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal","Munjal Shroff, Tilak Shetty",Not Available,Children & Family Movies,2017,9
135,0,Movie,Love,2017-09-08,2015.0,NR,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,80057969.0,"Karl Glusman, Juan Saavedra, Isabelle Nicou, Gaspar Noé, Déborah Révy, Klara Kristin, Aomi Muyock, Ugo Fox, Benoît Debie, Vincent Maraval",Gaspar Noé,"France, Belgium","Cult Movies, Dramas, Independent Movies",2017,9
98,0,Movie,Manhattan Romance,2017-09-08,2014.0,TV-14,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,80060297.0,"Tom O'Brien, Louis Cancelmi, Zach Grenier, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann",Tom O'Brien,United States,"Comedies, Independent Movies, Romantic Movies",2017,9
96,0,Movie,Moonwalkers,2017-09-08,2015.0,R,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",80046728.0,"Ron Perlman, Eric Lampaert, Tom Audenaert, Kevin Bishop, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Erika Sainte",Antoine Bardou-Jacquet,"France, Belgium","Action & Adventure, Comedies, International Movies",2017,9
79,0,Movie,Rolling Papers,2017-09-08,2015.0,TV-MA,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",80046727.0,Not Available,Mitch Dickman,"United States, Uruguay",Documentaries,2017,9
113,0,Movie,Stonehearst Asylum,2017-09-08,2014.0,PG-13,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",70304988.0,"Kate Beckinsale, Ben Kingsley, Jason Flemyng, Michael Caine, Edmund Kingsley, Jim Sturgess, David Thewlis, Brendan Gleeson, Sophie Kennedy Clark, Sinéad Cusack",Brad Anderson,United States,"Horror Movies, Thrillers",2017,9
90,0,Movie,The Runner,2017-09-08,2015.0,R,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,80057700.0,"Nicolas Cage, Bryan Batt, Dana Gourrier, Peter Fonda, Sarah Paulson, Connie Nielsen, Wendell Pierce",Austin Stark,United States,"Dramas, Independent Movies",2017,9
80,0,Movie,6 Years,2015-09-08,2015.0,NR,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",80045922.0,"Taissa Farmiga, Jennifer Lafleur, Dana Wheeler-Nicholson, Peter Vack, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jason Newman, Molly McMichael",Hannah Fidell,United States,"Dramas, Independent Movies, Romantic Movies",2015,9
0,1,TV Show,Castle of Stars,2018-09-07,2015.0,TV-14,"As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.",80244601.0,"Chaiyapol Pupart, Yong Armchair, Akarat Nimitchai, Keerati Mahapreukpong, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Kornpassorn Duaysianklao, Nattapong Chartpong",Not Available,Not Available,"International TV Shows, Romantic TV Shows, TV Comedies",2018,9
77,0,Movie,City of Joy,2018-09-07,2018.0,TV-MA,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",80203094.0,Not Available,Madeleine Gavin,"United States,",Documentaries,2018,9
0,1,TV Show,First and Last,2018-09-07,2018.0,TV-MA,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,80190843.0,Not Available,Not Available,Not Available,Docuseries,2018,9
112,0,Movie,Laddaland,2018-09-07,2011.0,TV-MA,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",70241607.0,"Saharat Sangkapreecha, Deuntem Salitul, Sahajak Boonthanakit, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai",Sopon Sukdapisit,Thailand,"Horror Movies, International Movies",2018,9
106,0,Movie,Next Gen,2018-09-07,2018.0,TV-PG,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",80988892.0,"John Krasinski, David Cross, Constance Wu, Charlyne Yi, Jason Sudeikis, Michael Peña","Kevin R. Adams, Joe Ksander","China, Canada, United States","Children & Family Movies, Comedies, Sci-Fi & Fantasy",2018,9
106,0,Movie,Sierra Burgess Is A Loser,2018-09-07,2018.0,PG-13,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,80239639.0,"Shannon Purser, Loretta Devine, Alice Lee, Giorgia Whigham, Mary Pat Gleason, Kristine Froseth, RJ Cyler, Chrissy Metz, Noah Centineo, Lea Thompson, Alan Ruck",Ian Samuels,United States,"Comedies, Romantic Movies",2018,9
102,0,Movie,The Most Assassinated Woman in the World,2018-09-07,2018.0,TV-MA,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",80159586.0,"Anna Mouglalis, Sissi Duparc, Julie Recoing, Jean-Michel Balthazar, Constance Dollé, Niels Schneider, André Wilms, Michel Fau, Eric Godon, Maya Coline",Franck Ribière,"Belgium, United Kingdom, United States","Dramas, International Movies, Thrillers",2018,9
114,0,Movie,Cézanne et moi,2017-09-07,2016.0,R,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",80152447.0,"Guillaume Canet, Sabine Azéma, Isabelle Candelier, Freya Mavor, Guillaume Gallienne, Alice Pol, Déborah François, Laurent Stocker",Daniele Thompson,"Belgium, France","Dramas, Independent Movies, International Movies",2017,9
0,1,TV Show,Archibald's Next Big Thing,2019-09-06,2019.0,TV-Y7,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",80221550.0,"Tony Hale, Adam Pally, Kari Wahlgren, Rosamund Pike, Jordan Fisher, Chelsea Kane",Not Available,Not Available,"Kids' TV, TV Comedies",2019,9
125,0,Movie,Article 15,2019-09-06,2019.0,TV-MA,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,81154455.0,"Ayushmann Khurrana, Isha Talwar, Mohammed Zeeshan Ayyub, Sayani Gupta, Aakash Dabhade, Nassar, Manoj Pahwa, Kumud Mishra, Subhrajyoti Barat, Sushil Pandey",Anubhav Sinha,India,"Dramas, International Movies, Thrillers",2019,9
142,0,Movie,Care of Kancharapalem,2019-09-06,2018.0,TV-14,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",81113928.0,"Subba Rao Vepada, Karthik Rathnam, Mohan Bhagath, Praneetha Patnaik, Radha Bessy, Kesava Karri, Nithyasri Goru, Praveena Paruchuri",Maha Venkatesh,Not Available,"Comedies, Dramas, Independent Movies",2019,9
133,0,Movie,Ee Nagaraniki Emaindi,2019-09-06,2018.0,TV-14,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",81052275.0,"Vishwaksen Naidu, Anisha Ambrose, Simran Choudhary, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu",Tharun Bhascker,India,"Comedies, International Movies",2019,9
100,0,Movie,Kill Me If You Dare,2019-09-06,2019.0,TV-14,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",81132437.0,"Murat Boz, Seda Güven, Dilşad Şimşek, Yosi Mizrahi, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Ali Yoğurtçuoğlu",Şenol Sönmez,Not Available,"Comedies, International Movies, Romantic Movies",2019,9
0,1,TV Show,The Spy,2019-09-06,2019.0,TV-MA,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",80178151.0,"Sacha Baron Cohen, Waleed Zuaiter, Nassim Lyes, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig",Not Available,France,"International TV Shows, TV Dramas, TV Thrillers",2019,9
86,0,Movie,Hell and Back,2018-09-06,2015.0,R,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.",80058026.0,"Nick Swardson, Rob Riggle, Danny McBride, Susan Sarandon, Maria Bamford, Mila Kunis, Bob Odenkirk, T.J. Miller, Jennifer Coolidge, John Farley","Tom Gianas, Ross R. Shuman",United States,"Action & Adventure, Comedies, Independent Movies",2018,9
146,0,Movie,PK,2018-09-06,2014.0,TV-14,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,70303496.0,"Aamir Khan, Parikshat Sahni, Boman Irani, Sushant Singh Rajput, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Rukhsar",Rajkumar Hirani,India,"Comedies, Dramas, International Movies",2018,9
79,0,Movie,Hard Tide,2017-09-06,2015.0,TV-MA,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,80162141.0,"Nathanael Wiseman, Kat Gellin, Ralph Brown, Andy Lucas, Mem Ferda, Alexandra Newick, Oliver Stark, Beverly Hills","Robert Osman, Nathanael Wiseman",United Kingdom,"Dramas, Independent Movies",2017,9
102,0,Movie,Elstree 1976,2016-09-06,2015.0,TV-PG,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",80095641.0,"Paul Blake, Laurie Goode, Derek Lyons, Garrick Hagon, Pam Rose, Jeremy Bulloch, John Chapman, Anthony Forrest, Angus MacInnes, David Prowse",Jon Spira,United Kingdom,Documentaries,2016,9
10,0,Movie,American Factory: A Conversation with the Obamas,2019-09-05,2019.0,TV-G,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,81176188.0,"President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar",Not Available,Not Available,Documentaries,2019,9
122,0,Movie,ATM,2018-09-05,2012.0,TV-14,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",80159880.0,"Chantavit Dhanasevi, Sananthachat Thanapatpisal, Puttachat Pongsuchat, Pongkool Suebsung, Pongsatorn Jongwilak, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Gornpop Janjaroen, Yanee Tramoth",Mez Tharatorn,"United States, Canada","Comedies, International Movies, Romantic Movies",2018,9
126,0,Movie,Bangkok Traffic (Love) Story,2018-09-05,2009.0,TV-14,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",81016044.0,"Theeradej Wongpuapan, Taksaorn Paksukcharern, Kazuki Yano, Charlie Trairat, Sirin Horwang, Ungsumalynn Sirapatsakmetha, Panissara Phimpru",Adisorn Tresirikasem,Thailand,"Comedies, International Movies, Romantic Movies",2018,9
116,0,Movie,I Fine... Thank You... Love You,2018-09-05,2014.0,TV-14,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.",80158838.0,"Preechaya Pongthananikorn, Popetorn Soonthornyanakij, Sunny Suwanmethanont, Sora Aoi, Puttachat Pongsuchat",Mez Tharatorn,Thailand,"Comedies, International Movies, Romantic Movies",2018,9
135,0,Movie,One Day,2018-09-05,2016.0,TV-PG,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",81016045.0,"Chantavit Dhanasevi, Kris Srepoomseth, Sutthatip Wutichaipradit, Somyos Matures, Nittha Jirayungyurn, Theerapat Sajakul, Prim Bulakul, Rermthon Kemapech, Kaz Sawamura",Banjong Pisanthanakun,Thailand,"Dramas, International Movies, Romantic Movies",2018,9
125,0,Movie,Phobia 2,2018-09-05,2009.0,TV-MA,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.",70142798.0,"Jirayu La-ongmanee, Nicole Theriault, Gacha Plienwithi, Chumphorn Thepphithak, Nattapong Chartpong, Charlie Trairat, Worrawech Danuwong, Marsha Wattanapanich, Suteerush Channukool, Peeratchai Roompol","Banjong Pisanthanakun, Paween Purikitpanya, Parkpoom Wongpoom, Visute Poolvoralaks, Songyos Sugmakanan",Thailand,"Horror Movies, International Movies",2018,9
96,0,Movie,Shutter,2018-09-05,2004.0,TV-MA,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",70062814.0,"Ananda Everingham, Titikarn Tongprasearth, Chachchaya Chalemphol, Sivagorn Muttamara, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Kachormsak Naruepatr","Banjong Pisanthanakun, Parkpoom Wongpoom",Thailand,"Horror Movies, International Movies",2018,9
130,0,Movie,Suckseed,2018-09-05,2011.0,TV-MA,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",80158839.0,"Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert",Chayanop Boonprakob,Thailand,"Comedies, International Movies",2018,9
98,0,Movie,Carrie Pilby,2017-09-05,2016.0,TV-14,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",80147760.0,"Bel Powley, Jason Ritter, William Moseley, Colin O'Donoghue, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Desmin Borges",Susan Johnson,United States,"Comedies, Dramas",2017,9
70,0,Movie,Marc Maron: Too Real,2017-09-05,2017.0,TV-MA,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",80177405.0,Marc Maron,Lynn Shelton,United States,Stand-Up Comedy,2017,9
0,1,TV Show,No Tomorrow,2017-09-05,2016.0,TV-14,"Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.",80113482.0,"Joshua Sasse, Jesse Rath, Amy Pietz, Tori Anderson, Jonathan Langdon, Sarayu Blue",Not Available,United States,"Romantic TV Shows, TV Comedies, TV Dramas",2017,9
128,0,Movie,Saawan,2019-09-04,2016.0,TV-14,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.",81160036.0,"Karam Hussain, Imran Aslam, Sohail Malik, Daniyal Yousuf, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Ali Hafiz",Farhan Alam,Pakistan,"Dramas, Independent Movies, International Movies",2019,9
88,0,Movie,The Heretics,2019-09-04,2017.0,TV-MA,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,81173255.0,"Nina Kiri, Nina Richmond, Ry Barrett, Jorja Cadence, Will King",Chad Archibald,Canada,Horror Movies,2019,9
108,0,Movie,The World We Make,2019-09-04,2019.0,PG,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",81078908.0,"Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams",Brian Baugh,United States,"Dramas, Romantic Movies",2019,9
93,0,Movie,Watchman,2019-09-04,2019.0,TV-14,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",81155784.0,"G.V. Prakash Kumar, Yogi Babu, Munishkanth, Samyuktha Hegde, Suman, Raj Arjun",A. L. Vijay,India,"Comedies, Dramas, International Movies",2019,9
135,0,Movie,Black Panther,2018-09-04,2018.0,PG-13,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",80201906.0,"Chadwick Boseman, Martin Freeman, Letitia Wright, Daniel Kaluuya, Angela Bassett, John Kani, Andy Serkis, Michael B. Jordan, David S. Lee, Lupita Nyong'o, Forest Whitaker, Florence Kasumba, Stan Lee, Danai Gurira, Winston Duke, Sterling K. Brown",Ryan Coogler,United States,"Action & Adventure, Sci-Fi & Fantasy",2018,9
88,0,Movie,Man Up,2018-09-04,2015.0,R,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",80052612.0,"Lake Bell, Rory Kinnear, Ken Stott, Henry Lloyd-Hughes, Stephen Campbell Moore, Phoebe Waller-Bridge, Simon Pegg, Ophelia Lovibond, Dean-Charles Chapman, Olivia Williams, Sharon Horgan, Harriet Walter",Ben Palmer,"United Kingdom, France","Comedies, International Movies, Romantic Movies",2018,9
0,1,TV Show,Frequency,2017-09-04,2016.0,TV-14,"A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.",80113641.0,"Peyton List, Lenny Jacobson, Anthony Ruivivar, Daniel Bonjour, Riley Smith, Mekhi Phifer, Devin Kelley",Not Available,United States,"Crime TV Shows, TV Dramas, TV Mysteries",2017,9
64,0,Movie,Mo Gilligan: Momentum,2019-09-30,2019.0,TV-MA,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",81054495.0,Mo Gilligan,Chris Howe,United Kingdom,Stand-Up Comedy,2019,9
0,1,TV Show,Adam Ruins Everything,2018-09-30,2018.0,TV-14,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",80996949.0,"Adam Conover, Adam Lustick, Emily Axford",Not Available,United States,TV Comedies,2018,9
0,1,TV Show,Ben 10,2018-09-30,2016.0,TV-Y7,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.,80239337.0,"Tara Strong, Todd Haberkorn, Daryl Sabara, Dwight Schultz, Montse Hernandez, David Kaye, Roger Craig Smith",Not Available,United States,Kids' TV,2018,9
107,0,Movie,Big Miracle,2018-09-30,2012.0,PG,"After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.",70212504.0,"Drew Barrymore, Tim Blake Nelson, Ted Danson, Vinessa Shaw, Michael Gaston, John Krasinski, Kristen Bell, Dermot Mulroney, Stephen Root, Rob Riggle",Ken Kwapis,"United States, United Kingdom","Children & Family Movies, Dramas",2018,9
0,1,TV Show,Christiane Amanpour: Sex & Love Around the World,2018-09-30,2018.0,TV-MA,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.",81011682.0,Not Available,Not Available,United States,Docuseries,2018,9
0,1,TV Show,The Eighties,2018-09-30,2016.0,TV-PG,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.",80128317.0,Not Available,Not Available,United States,Docuseries,2018,9
0,1,TV Show,The Nineties,2018-09-30,2017.0,TV-14,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.,81027384.0,Not Available,Not Available,United States,Docuseries,2018,9
0,1,TV Show,The Seventies,2018-09-30,2015.0,TV-PG,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events.",80030186.0,Not Available,Not Available,United States,Docuseries,2018,9
0,1,TV Show,We Bare Bears,2018-09-30,2017.0,TV-Y7,"Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.",80116921.0,"Eric Edelstein, Demetri Martin, Bobby Moynihan",Not Available,United States,"Kids' TV, TV Comedies",2018,9
130,0,Movie,The Mayor,2017-09-30,2017.0,TV-MA,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.",80187061.0,"Min-sik Choi, Mi-ran Ra, Ki Hong Lee, Hye-young Ryu, Byeong-eun Park, Do-won Kwak, Eun-kyung Shim, So-ri Moon, Sun-gyu Jin, Joo-yeon Lee",Park In-je,South Korea,"Dramas, International Movies",2017,9
0,1,TV Show,The Royal House of Windsor,2017-09-30,2017.0,TV-14,"Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.",80181555.0,Not Available,Not Available,United Kingdom,"British TV Shows, Docuseries, International TV Shows",2017,9
92,0,Movie,Amanda Knox,2016-09-30,2016.0,TV-MA,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,80081155.0,Not Available,"Rod Blackhurst, Brian McGinn","Denmark, United States",Documentaries,2016,9
0,1,TV Show,Lovesick,2018-09-03,2014.0,TV-14,Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,80184358.0,"Kongyingyong Chonlathorn, Chindavanich Primrose, Nungira Hanwutinanon, Charnmanoon Pannin, Nontapan Chuenwarin, Phumphothingam Nawat, Luangsodsai Anupart, Nuchanart Veerakaarn, Ausavaterakul Ausavapat, Sirikiet Saejea",Not Available,Not Available,"International TV Shows, Romantic TV Shows, TV Dramas",2018,9
